address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"190 STEALTH RIDGE LN SAINT JOHNSBURY, VT 05819 ",190,STEALTH RIDGE LN,SAINT JOHNSBURY,VT,05819,-72.009613,44.425703,50,005,957500,1
"296 WILLSON RD DANVILLE, VT 05819 ",296,WILLSON RD,DANVILLE,VT,05819,-72.098133,44.392769,50,005,957600,2
"156 PAPERMILL RD RYEGATE, VT 05042 ",156,PAPERMILL RD,RYEGATE,VT,05042,-72.061006,44.204873,50,005,957800,3
"1066 RAILROAD ST SAINT JOHNSBURY, VT 05819 ",1066,RAILROAD ST,SAINT JOHNSBURY,VT,05819,-72.015669,44.427913,50,005,957400,2
"1842 HARDWICK ST HARDWICK, VT 05836 ",1842,HARDWICK ST,HARDWICK,VT,05836,-72.299376,44.551361,50,005,957700,1
"862 DUTTON RD HARDWICK, VT 05843 ",862,DUTTON RD,HARDWICK,VT,05843,-72.332216,44.476514,50,005,957700,2
"76 WATERMAN CIR SAINT JOHNSBURY, VT 05819 ",76,WATERMAN CIR,SAINT JOHNSBURY,VT,05819,-72.009805,44.429712,50,005,957500,1
"4118 DARLING HILL RD BURKE, VT 05832 ",4118,DARLING HILL RD,BURKE,VT,05832,-71.953311,44.599124,50,005,957100,2
"632 S RIDGE RD SUTTON, VT 05867 ",632,S  RIDGE RD,SUTTON,VT,05867,-72.023209,44.605016,50,005,957000,1
"7 PENNY LN STANNARD, VT 05842 ",7,PENNY LN,STANNARD,VT,05842,-72.257784,44.54523,50,005,957000,3
"6165 RYEGATE RD RYEGATE, VT 05042 ",6165,RYEGATE RD,RYEGATE,VT,05042,-72.056119,44.238916,50,005,957800,3
"2165 GARLAND HL BARNET, VT 05821 ",2165,GARLAND HL,BARNET,VT,05821,-72.094606,44.289777,50,005,957900,3
"387 CORNER RD WALDEN, VT 05843 ",387,CORNER RD,WALDEN,VT,05843,-72.318725,44.465113,50,005,957000,2
"2096 NEW BOSTON RD SAINT JOHNSBURY, VT 05819 ",2096,NEW BOSTON RD,SAINT JOHNSBURY,VT,05819,-71.995913,44.491952,50,005,957500,1
"629 KEENE RD WALDEN, VT 05836 ",629,KEENE RD,WALDEN,VT,05836,-72.280381,44.491874,50,005,957000,2
"1210 GREENBANKS HOLLOW RD DANVILLE, VT 05828 ",1210,GREENBANKS HOLLOW RD,DANVILLE,VT,05828,-72.121777,44.386748,50,005,957600,2
"36 GASKIN CIR LYNDON, VT 05851 ",36,GASKIN CIR,LYNDON,VT,05851,-71.994386,44.538727,50,005,957200,2
"608 LIDDLE DR RYEGATE, VT 05042 ",608,LIDDLE DR,RYEGATE,VT,05042,-72.075283,44.254461,50,005,957800,3
"1348 DARLING HILL RD LYNDON, VT 05851 ",1348,DARLING HILL RD,LYNDON,VT,05851,-71.973125,44.563058,50,005,957200,2
"322 DIAMOND HILL RD LYNDON, VT 05851 ",322,DIAMOND HILL RD,LYNDON,VT,05851,-72.047845,44.52481,50,005,957300,3
"66 ADAMS DR SAINT JOHNSBURY, VT 05819 ",66,ADAMS DR,SAINT JOHNSBURY,VT,05819,-72.010125,44.412491,50,005,957500,3
"1774 CALENDAR BROOK RD BURKE, VT 05871 ",1774,CALENDAR BROOK RD,BURKE,VT,05871,-71.992425,44.602888,50,005,957100,1
"91 COLLEGE RD LYNDON, VT 05850 ",91,COLLEGE RD,LYNDON,VT,05850,-72.014515,44.537453,50,005,957300,2
"2315 PORTLAND ST SAINT JOHNSBURY, VT 05819 ",2315,PORTLAND ST,SAINT JOHNSBURY,VT,05819,-71.97498,44.429035,50,005,957500,1
"1239 BAYLEY HAZEN RD PEACHAM, VT 05862 ",1239,BAYLEY HAZEN RD,PEACHAM,VT,05862,-72.174592,44.336824,50,005,957800,1
"113 SPEEDWELL DR LYNDON, VT 05851 ",113,SPEEDWELL DR,LYNDON,VT,05851,-72.028886,44.541963,50,005,957300,3
"246 HIGGINS HILL RD SAINT JOHNSBURY, VT 05819 ",246,HIGGINS HILL RD,SAINT JOHNSBURY,VT,05819,-71.987194,44.415813,50,005,957500,3
"109 INWOOD LN BARNET, VT 05819 ",109,INWOOD LN,BARNET,VT,05819,-72.03504,44.32965,50,005,957900,2
"37 LEDGE RD LYNDON, VT 05851 ",37,LEDGE RD,LYNDON,VT,05851,-72.010785,44.512328,50,005,957300,3
"172 E RIDGE RD SUTTON, VT 05871 ",172,E   RIDGE RD,SUTTON,VT,05871,-71.981721,44.657087,50,005,957000,1
