address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"358 CAMPERS LN CONCORD, VT 05824 ",358,CAMPERS LN,CONCORD,VT,05824,-71.801261,44.446611,50,009,950500,2
"689 SPENCER HILL RD BLOOMFIELD, VT 05905 ",689,SPENCER HILL RD,BLOOMFIELD,VT,05905,-71.627722,44.761586,50,009,950100,1
"1311 VT ROUTE 114 S NORTON, VT 05907 ",1311,VT ROUTE 114   S,NORTON,VT,05907,-71.803143,44.990478,50,009,950100,1
"361 JACKSON LODGE RD CANAAN, VT 05903 ",361,JACKSON LODGE RD,CANAAN,VT,05903,-71.609303,45.01209,50,009,950100,2
"289 E MAIN ST LUNENBURG, VT 05906 ",289,E   MAIN ST,LUNENBURG,VT,05906,-71.671461,44.464462,50,009,950500,1
"1627 WESTSIDE LAKE RD MAIDSTONE, VT 05905 ",1627,WESTSIDE LAKE RD,MAIDSTONE,VT,05905,-71.654457,44.647159,50,009,950100,1
"0 SFH MAIDSTONE, VT 05905 ",0,SFH,MAIDSTONE,VT,05905,-71.646093,44.636178,50,009,950100,1
"384 ROYALSTON CORNER RD CONCORD, VT 05824 ",384,ROYALSTON CORNER RD,CONCORD,VT,05824,-71.878533,44.430698,50,009,950500,2
"379 HIGH RIDGE RD CONCORD, VT 05824 ",379,HIGH RIDGE RD,CONCORD,VT,05824,-71.861802,44.386323,50,009,950500,2
"198 BEACH RD AVERILL, VT 05901 ",198,BEACH RD,AVERILL,VT,05901,-71.685189,44.96948,50,009,950100,1
"757 GEORGES BLVD EAST HAVEN, VT 05837 ",757,GEORGES BLVD,EAST HAVEN,VT,05837,-71.861784,44.637721,50,009,950500,1
"173 W SIDE RD LUNENBURG, VT 05906 ",173,W  SIDE RD,LUNENBURG,VT,05906,-71.69556,44.486069,50,009,950500,1
"553 BASIL HILL RD BRIGHTON, VT 05846 ",553,BASIL HILL RD,BRIGHTON,VT,05846,-71.942964,44.80668,50,009,950200,1
"3127 VT ROUTE 102 BRUNSWICK, VT 05905 ",3127,VT ROUTE 102,BRUNSWICK,VT,05905,-71.612519,44.715297,50,009,950100,1
"188 POLLARD HL CANAAN, VT 05903 ",188,POLLARD HL,CANAAN,VT,05903,-71.597777,44.957409,50,009,950100,2
"153 SPUR RD BLOOMFIELD, VT 05905 ",153,SPUR RD,BLOOMFIELD,VT,05905,-71.577285,44.811987,50,009,950100,1
"68 ALBERTS WAY AVERILL, VT 05901 ",68,ALBERTS WAY,AVERILL,VT,05901,-71.685446,44.984918,50,009,950100,1
"966 COZY NOOK RD CONCORD, VT 05824 ",966,COZY NOOK RD,CONCORD,VT,05824,-71.761811,44.411676,50,009,950500,2
"201 AUSTIN RD EAST HAVEN, VT 05837 ",201,AUSTIN RD,EAST HAVEN,VT,05837,-71.86683,44.646803,50,009,950500,1
"131 RIVER RD CANAAN, VT 05902 ",131,RIVER RD,CANAAN,VT,05902,-71.505207,45.00889,50,009,950100,2
"337 NELSON RD NORTON, VT 05907 ",337,NELSON RD,NORTON,VT,05907,-71.798994,45.010389,50,009,950100,1
"46 GLENSIDE LN CONCORD, VT 05858 ",46,GLENSIDE LN,CONCORD,VT,05858,-71.861009,44.470241,50,009,950500,2
"53 FITZGERALD AVE BRIGHTON, VT 05846 ",53,FITZGERALD AVE,BRIGHTON,VT,05846,-71.883732,44.811163,50,009,950200,1
"460 ROYALSTON CORNER RD CONCORD, VT 05824 ",460,ROYALSTON CORNER RD,CONCORD,VT,05824,-71.876646,44.430512,50,009,950500,2
"0 VT ROUTE 105 BLOOMFIELD, VT 05905 ",0,VT ROUTE 105,BLOOMFIELD,VT,05905,-71.642714,44.760972,50,009,950100,1
"0 SFH MAIDSTONE, VT 05905 ",0,SFH,MAIDSTONE,VT,05905,-71.644151,44.63792,50,009,950100,1
"787 TUG MOUNTAIN RD LUNENBURG, VT 05906 ",787,TUG MOUNTAIN RD,LUNENBURG,VT,05906,-71.732759,44.528371,50,009,950500,1
"143 CHAMBERLAIN RD CANAAN, VT 05903 ",143,CHAMBERLAIN RD,CANAAN,VT,05903,-71.547512,44.968641,50,009,950100,2
"131 FITZGERALD AVE BRIGHTON, VT 05846 ",131,FITZGERALD AVE,BRIGHTON,VT,05846,-71.883012,44.811914,50,009,950200,1
"148 GOUDREAULT HILL RD CONCORD, VT 05824 ",148,GOUDREAULT HILL RD,CONCORD,VT,05824,-71.859482,44.43403,50,009,950500,2
"444 ARTHUR JOHN RD BRIGHTON, VT 05846 ",444,ARTHUR JOHN RD,BRIGHTON,VT,05846,-71.839519,44.760568,50,009,950200,1
"462 BAUMANN RD NORTON, VT 05907 ",462,BAUMANN RD,NORTON,VT,05907,-71.804741,45.005142,50,009,950100,1
"1465 LADD RD CONCORD, VT 05858 ",1465,LADD RD,CONCORD,VT,05858,-71.841866,44.458681,50,009,950500,2
"667 COZY NOOK RD CONCORD, VT 05906 ",667,COZY NOOK RD,CONCORD,VT,05906,-71.759915,44.415183,50,009,950500,2
"41 GREEN HILL RD CANAAN, VT 05903 ",41,GREEN HILL RD,CANAAN,VT,05903,-71.531704,45.001105,50,009,950100,2
"6138 VT ROUTE 114 CANAAN, VT 05903 ",6138,VT ROUTE 114,CANAAN,VT,05903,-71.65974,45.006172,50,009,950100,2
"6593 VT ROUTE 102 CANAAN, VT 05903 ",6593,VT ROUTE 102,CANAAN,VT,05903,-71.540725,44.993187,50,009,950100,2
"0 S LUNENBURG RD LUNENBURG, VT 05906 ",0,S  LUNENBURG RD,LUNENBURG,VT,05906,-71.677146,44.452496,50,009,950500,3
"2408 RIVER RD LUNENBURG, VT 05904 ",2408,RIVER RD,LUNENBURG,VT,05904,-71.70284,44.415994,50,009,950500,3
"0 DOW DR LUNENBURG, VT 05906 ",0,DOW DR,LUNENBURG,VT,05906,-71.741636,44.419241,50,009,950500,3
"1271 HATCHERY BROOK RD AVERILL, VT 05901 ",1271,HATCHERY BROOK RD,AVERILL,VT,05901,-71.682361,44.967599,50,009,950100,1
"0 VT ROUTE 114 CANAAN, VT 05903 ",0,VT ROUTE 114,CANAAN,VT,05903,-71.592137,45.006843,50,009,950100,2
"130 DREAM LN CONCORD, VT 05824 ",130,DREAM LN,CONCORD,VT,05824,-71.873824,44.403822,50,009,950500,2
"5455 VT ROUTE 105 BRUNSWICK, VT 05905 ",5455,VT ROUTE 105,BRUNSWICK,VT,05905,-71.70247,44.76576,50,009,950100,1
"22 MASTEN RD VICTORY, VT 05858 ",22,MASTEN RD,VICTORY,VT,05858,-71.850877,44.528329,50,009,950500,1
"78 MILTIMORE RD CONCORD, VT 05824 ",78,MILTIMORE RD,CONCORD,VT,05824,-71.890405,44.41007,50,009,950500,2
"0 S LUNENBURG RD LUNENBURG, VT 05906 ",0,S   LUNENBURG RD,LUNENBURG,VT,05906,-71.682354,44.460683,50,009,950500,3
"837 JACKSON RD AVERILL, VT 05901 ",837,JACKSON RD,AVERILL,VT,05901,-71.706719,44.978901,50,009,950100,1
"3 ANNIE DR LUNENBURG, VT 05906 ",3,ANNIE DR,LUNENBURG,VT,05906,-71.731029,44.44274,50,009,950500,3
"0 VT ROUTE 114 CANAAN, VT 05903 ",0,VT ROUTE 114,CANAAN,VT,05903,-71.686401,45.005772,50,009,950100,2
"0 SFH MAIDSTONE, VT 05905 ",0,SFH,MAIDSTONE,VT,05905,-71.644505,44.636969,50,009,950100,1
"663 VT ROUTE 102 CANAAN, VT 05903 ",663,VT ROUTE 102,CANAAN,VT,05903,-71.515746,44.918106,50,009,950100,2
"6585 VT ROUTE 102 BLOOMFIELD, VT 05905 ",6585,VT ROUTE 102,BLOOMFIELD,VT,05905,-71.571085,44.826721,50,009,950100,1
"1811 OREGON RD CONCORD, VT 05906 ",1811,OREGON RD,CONCORD,VT,05906,-71.761332,44.441114,50,009,950500,2
"461 LOOP RD AVERILL, VT 05901 ",461,LOOP RD,AVERILL,VT,05901,-71.69254,44.967257,50,009,950100,1
"72 HILLSIDE TER BRIGHTON, VT 05846 ",72,HILLSIDE TER,BRIGHTON,VT,05846,-71.878648,44.819857,50,009,950200,1
"511 WALLACE RD LEMINGTON, VT 05903 ",511,WALLACE RD,LEMINGTON,VT,05903,-71.58906,44.868837,50,009,950100,1
"120 MOUNTAIN ST BRIGHTON, VT 05846 ",120,MOUNTAIN ST,BRIGHTON,VT,05846,-71.879944,44.817928,50,009,950200,1
"165 LLOYD POTTER RD LEWIS, VT 05907 ",165,LLOYD POTTER RD,LEWIS,VT,05907,-71.777327,44.881784,50,009,950100,1
