address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"1794 SHOVER RD EDEN, VT 05652 ",1794,SHOVER RD,EDEN,VT,05652,-72.534886,44.731836,50,015,953000,1
"408 W HIGHLAND DR JOHNSON, VT 05656 ",408,W  HIGHLAND DR,JOHNSON,VT,05656,-72.696648,44.634794,50,015,953200,2
"119 EDEN ST HYDE PARK, VT 05655 ",119,EDEN ST,HYDE PARK,VT,05655,-72.613805,44.594265,50,015,953300,2
"2285 RANDOLPH RD MORRISTOWN, VT 05661 ",2285,RANDOLPH RD,MORRISTOWN,VT,05661,-72.592805,44.529016,50,015,953500,3
"35 FITZGERALD RD MORRISTOWN, VT 05661 ",35,FITZGERALD RD,MORRISTOWN,VT,05661,-72.590601,44.541802,50,015,953500,3
"981 STOWE HOLLOW RD STOWE, VT 05672 ",981,STOWE HOLLOW RD,STOWE,VT,05672,-72.680307,44.449842,50,015,953600,2
"981 COTE HILL RD MORRISTOWN, VT 05661 ",981,COTE HILL RD,MORRISTOWN,VT,05661,-72.641722,44.571375,50,015,953500,2
"0 WEEKS HILL RD STOWE, VT 05672 ",0,WEEKS HILL RD,STOWE,VT,05672,-72.704768,44.504372,50,015,953600,1
"425 UPPER MAIN ST MORRISTOWN, VT 05661 ",425,UPPER MAIN ST,MORRISTOWN,VT,05661,-72.589865,44.561578,50,015,953500,3
"481 SMITHVILLE RD WATERVILLE, VT 05492 ",481,SMITHVILLE RD,WATERVILLE,VT,05492,-72.749105,44.742523,50,015,953000,2
"93 PAGE HILL RD WATERVILLE, VT 05492 ",93,PAGE HILL RD,WATERVILLE,VT,05492,-72.758157,44.697093,50,015,953000,2
"573 BAIRD RD STOWE, VT 05672 ",573,BAIRD RD,STOWE,VT,05672,-72.67577,44.488208,50,015,953600,1
"8 CLACK ST MORRISTOWN, VT 05661 ",8,CLACK ST,MORRISTOWN,VT,05661,-72.600961,44.557566,50,015,953500,3
"710 TANSY HILL RD STOWE, VT 05672 ",710,TANSY HILL RD,STOWE,VT,05672,-72.675709,44.497075,50,015,953600,1
"4915 MOUNTAIN RD STOWE, VT 05672 ",4915,MOUNTAIN RD,STOWE,VT,05672,-72.754874,44.50163,50,015,953600,3
"19 PALISADES LN STOWE, VT 05672 ",19,PALISADES LN,STOWE,VT,05672,-72.690611,44.464422,50,015,953600,3
"262 MCFARLANE RD HYDE PARK, VT 05655 ",262,MCFARLANE RD,HYDE PARK,VT,05655,-72.537284,44.583464,50,015,953300,1
"169 OAKWOOD DR HYDE PARK, VT 05655 ",169,OAKWOOD DR,HYDE PARK,VT,05655,-72.643214,44.609881,50,015,953300,2
"2946 HARDWOOD FLATS RD ELMORE, VT 05680 ",2946,HARDWOOD FLATS RD,ELMORE,VT,05680,-72.51669,44.46441,50,015,953400,1
"11 FOURTH ST MORRISTOWN, VT 05661 ",11,FOURTH ST,MORRISTOWN,VT,05661,-72.625619,44.529039,50,015,953500,2
"1176 SINCLAIR RD JOHNSON, VT 05656 ",1176,SINCLAIR RD,JOHNSON,VT,05656,-72.640649,44.63269,50,015,953200,2
"178 WESTPHAL RD ELMORE, VT 05680 ",178,WESTPHAL RD,ELMORE,VT,05680,-72.522104,44.543804,50,015,953400,1
"0 COTE HILL RD MORRISTOWN, VT 05661 ",0,COTE HILL RD,MORRISTOWN,VT,05661,-72.648231,44.597988,50,015,953500,2
"245 STOWEFLAKE MDWS STOWE, VT 05672 ",245,STOWEFLAKE MDWS,STOWE,VT,05672,-72.713306,44.476402,50,015,953600,1
"3940 NORTH WOLCOTT RD WOLCOTT, VT 05680 ",3940,NORTH WOLCOTT RD,WOLCOTT,VT,05680,-72.462005,44.609517,50,015,953400,1
"34 PARK ST STOWE, VT 05672 ",34,PARK ST,STOWE,VT,05672,-72.685968,44.464692,50,015,953600,2
"344 VT ROUTE 15 W HYDE PARK, VT 05655 ",344,VT ROUTE 15   W,HYDE PARK,VT,05655,-72.622582,44.598504,50,015,953300,2
"1279 CAMPBELL RD MORRISTOWN, VT 05661 ",1279,CAMPBELL RD,MORRISTOWN,VT,05661,-72.595851,44.494036,50,015,953500,2
"2241 NEBRASKA VALLEY RD STOWE, VT 05672 ",2241,NEBRASKA VALLEY RD,STOWE,VT,05672,-72.772306,44.464571,50,015,953600,3
"74 SUNSET HEIGHTS DR STOWE, VT 05672 ",74,SUNSET HEIGHTS DR,STOWE,VT,05672,-72.6958,44.427725,50,015,953600,2
"605 OLD MINES RD EDEN, VT 05652 ",605,OLD MINES RD,EDEN,VT,05652,-72.562785,44.753699,50,015,953000,1
"126 GOOSEBERRY KNOLL DR CAMBRIDGE, VT 05464 ",126,GOOSEBERRY KNOLL DR,CAMBRIDGE,VT,05464,-72.799745,44.650091,50,015,953100,1
"3409 VT ROUTE 100 HYDE PARK, VT 05655 ",3409,VT ROUTE 100,HYDE PARK,VT,05655,-72.598904,44.643582,50,015,953300,2
"360 FARRELL FARM LN STOWE, VT 05672 ",360,FARRELL FARM LN,STOWE,VT,05672,-72.659035,44.437547,50,015,953600,2
"44 MISTY LN CAMBRIDGE, VT 05444 ",44,MISTY LN,CAMBRIDGE,VT,05444,-72.918296,44.642651,50,015,953100,1
