address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"3153 GLOVER ST GLOVER, VT 05839 ",3153,GLOVER ST,GLOVER,VT,05839,-72.18855,44.703744,50,019,952000,1
"12 DUCHESS AVE NEWPORT CITY, VT 05855 ",12,DUCHESS AVE,NEWPORT CITY,VT,05855,-72.203187,44.945394,50,019,951500,2
"438 SEARLES RD NEWPORT TOWN, VT 05857 ",438,SEARLES RD,NEWPORT TOWN,VT,05857,-72.316409,44.952508,50,019,951600,2
"813 WILLIAMS RD MORGAN, VT 05853 ",813,WILLIAMS RD,MORGAN,VT,05853,-71.964838,44.903253,50,019,951100,1
"75 WASHINGTON LN BARTON, VT 05822 ",75,WASHINGTON LN,BARTON,VT,05822,-72.181177,44.753413,50,019,951800,1
"1902 DUCK POND RD BARTON, VT 05822 ",1902,DUCK POND RD,BARTON,VT,05822,-72.167135,44.721492,50,019,951800,3
"2686 SHADOW LAKE RD GLOVER, VT 05839 ",2686,SHADOW LAKE RD,GLOVER,VT,05839,-72.244779,44.66724,50,019,952000,1
"451 MAIN ST DERBY CTR DERBY, VT 05829 ",451,MAIN ST DERBY CTR,DERBY,VT,05829,-72.132843,44.948136,50,019,951200,2
"145 PITKIN RD S ALBANY, VT 05845 ",145,PITKIN RD S,ALBANY,VT,05845,-72.351395,44.715352,50,019,951700,3
"298 NORTH SHORE RD GREENSBORO, VT 05841 ",298,NORTH SHORE RD,GREENSBORO,VT,05841,-72.323499,44.591169,50,019,952000,2
"495 S ALBANY RD CRAFTSBURY, VT 05826 ",495,S  ALBANY RD,CRAFTSBURY,VT,05826,-72.340269,44.64667,50,019,951700,4
"215 MAIN ST DERBY, VT 05830 ",215,MAIN ST,DERBY,VT,05830,-72.100897,45.002851,50,019,951200,1
"1347 LAKEVIEW RD WESTMORE, VT 05822 ",1347,LAKEVIEW RD,WESTMORE,VT,05822,-72.083952,44.744092,50,019,951900,2
"2312 SCHOOLHOUSE RD BROWNINGTON, VT 05860 ",2312,SCHOOLHOUSE RD,BROWNINGTON,VT,05860,-72.107457,44.806148,50,019,951900,2
"781 HIGHLAND AVE NEWPORT CITY, VT 05855 ",781,HIGHLAND AVE,NEWPORT CITY,VT,05855,-72.230677,44.930489,50,019,951500,1
"2851 SALEM DERBY RD DERBY, VT 05855 ",2851,SALEM DERBY RD,DERBY,VT,05855,-72.121439,44.898543,50,019,951200,3
"4263 S BARTON RD BARTON, VT 05822 ",4263,S   BARTON RD,BARTON,VT,05822,-72.099843,44.705356,50,019,951800,1
"560 SNIDERBROOK RD WESTFIELD, VT 05874 ",560,SNIDERBROOK RD,WESTFIELD,VT,05874,-72.442494,44.850703,50,019,951600,5
"790 CARMEL RD WESTFIELD, VT 05874 ",790,CARMEL RD,WESTFIELD,VT,05874,-72.44179,44.879082,50,019,951600,5
"66 CHARBO UNKNOWN 2 DERBY, VT 05829 ",66,CHARBO UNKNOWN 2,DERBY,VT,05829,-72.093685,44.921246,50,019,951200,3
"1628 E CRAFTSBURY RD CRAFTSBURY, VT 05826 ",1628,E   CRAFTSBURY RD,CRAFTSBURY,VT,05826,-72.343758,44.640408,50,019,951700,4
"1146 VALLEY RD HOLLAND, VT 05830 ",1146,VALLEY RD,HOLLAND,VT,05830,-72.035395,44.979707,50,019,951100,1
"471 SEYMOUR E MORGAN, VT 05853 ",471,SEYMOUR   E,MORGAN,VT,05853,-71.968857,44.88076,50,019,951100,1
"64 RIVER RD TROY, VT 05859 ",64,RIVER RD,TROY,VT,05859,-72.387428,44.991138,50,019,951600,3
"52 LAYTHE ST DERBY, VT 05830 ",52,LAYTHE ST,DERBY,VT,05830,-72.105434,44.999103,50,019,951200,1
"15 FISHER HL IRASBURG, VT 05845 ",15,FISHER HL,IRASBURG,VT,05845,-72.278343,44.798247,50,019,951700,2
"129 BLAKE ST NEWPORT CITY, VT 05855 ",129,BLAKE ST,NEWPORT CITY,VT,05855,-72.197283,44.947613,50,019,951400,1
"205 GREGORY DR NEWPORT TOWN, VT 05857 ",205,GREGORY DR,NEWPORT TOWN,VT,05857,-72.24708,44.995551,50,019,951600,1
"876 OLD COTTAGE LN WESTMORE, VT 05822 ",876,OLD COTTAGE LN,WESTMORE,VT,05822,-72.070024,44.763429,50,019,951900,2
"1834 CHENEY RD LOWELL, VT 05847 ",1834,CHENEY RD,LOWELL,VT,05847,-72.48846,44.779562,50,019,951700,1
"560 MONTEITH RD WESTFIELD, VT 05874 ",560,MONTEITH RD,WESTFIELD,VT,05874,-72.493501,44.838163,50,019,951600,5
"41 STEWART RD LOWELL, VT 05847 ",41,STEWART RD,LOWELL,VT,05847,-72.456205,44.763528,50,019,951700,1
"2466 PEPIN RD BROWNINGTON, VT 05860 ",2466,PEPIN RD,BROWNINGTON,VT,05860,-72.088525,44.820039,50,019,951900,2
"2352 N DERBY RD DERBY, VT 05855 ",2352,N   DERBY RD,DERBY,VT,05855,-72.176304,45.003837,50,019,951300,1
"317 VANCE RD W ALBANY, VT 05820 ",317,VANCE RD W,ALBANY,VT,05820,-72.355844,44.753515,50,019,951700,3
"744 RESERVOIR RD COVENTRY, VT 05855 ",744,RESERVOIR RD,COVENTRY,VT,05855,-72.291576,44.875318,50,019,951900,1
"1999 NELSON HILL RD DERBY, VT 05829 ",1999,NELSON HILL RD,DERBY,VT,05829,-72.094745,44.969719,50,019,951200,2
"83 NORTHERN AVE NEWPORT CITY, VT 05855 ",83,NORTHERN AVE,NEWPORT CITY,VT,05855,-72.198266,44.944418,50,019,951400,1
"313 WAYEESES DR MORGAN, VT 05853 ",313,WAYEESES DR,MORGAN,VT,05853,-72.007382,44.894132,50,019,951100,1
"75 MEADOW LN DERBY, VT 05830 ",75,MEADOW LN,DERBY,VT,05830,-72.106718,44.999376,50,019,951200,1
"630 PAGE POND RD ALBANY, VT 05827 ",630,PAGE POND RD,ALBANY,VT,05827,-72.356663,44.712009,50,019,951700,3
"466 OLD 5A RD WESTMORE, VT 05860 ",466,OLD 5A RD,WESTMORE,VT,05860,-72.054424,44.754963,50,019,951900,2
