address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"154 MAIN ST MONTPELIER, VT 05602 ",154,MAIN ST,MONTPELIER,VT,05602,-72.572304,44.262786,50,023,954600,2
"545 STAGECOACH LN WATERBURY, VT 05677 ",545,STAGECOACH LN,WATERBURY,VT,05677,-72.681215,44.364718,50,023,954300,1
"218 COBURN RD EAST MONTPELIER, VT 05651 ",218,COBURN RD,EAST MONTPELIER,VT,05651,-72.454671,44.29082,50,023,955000,2
"107 BUSHNELL RD WAITSFIELD, VT 05673 ",107,BUSHNELL RD,WAITSFIELD,VT,05673,-72.783612,44.196531,50,023,955700,1
"39 E PARKSIDE TER BARRE CITY, VT 05641 ",39,E   PARKSIDE TER,BARRE CITY,VT,05641,-72.497255,44.180993,50,023,955200,2
"8 E PARKSIDE TER BARRE CITY, VT 05641 ",8,E   PARKSIDE TER,BARRE CITY,VT,05641,-72.499005,44.182496,50,023,955200,2
"1452 VT ROUTE 100B MORETOWN, VT 05602 ",1452,VT ROUTE 100B,MORETOWN,VT,05602,-72.757894,44.254098,50,023,954400,1
"48 LOWER HANCOCK BROOK RD WORCESTER, VT 05682 ",48,LOWER HANCOCK BROOK RD,WORCESTER,VT,05682,-72.556298,44.402578,50,023,954200,1
"731 VT ROUTE 100 WARREN, VT 05674 ",731,VT ROUTE 100,WARREN,VT,05674,-72.845459,44.1377,50,023,955600,1
"1190 TRACY HILL RD ROXBURY, VT 05669 ",1190,TRACY HILL RD,ROXBURY,VT,05669,-72.714162,44.086317,50,023,955502,2
"225 HAMPSHIRE HILL RD WORCESTER, VT 05682 ",225,HAMPSHIRE HILL RD,WORCESTER,VT,05682,-72.573838,44.402079,50,023,954200,1
"300 LONG RD WAITSFIELD, VT 05673 ",300,LONG RD,WAITSFIELD,VT,05673,-72.770502,44.187909,50,023,955700,1
"520 BOULDER PASS WARREN, VT 05674 ",520,BOULDER PASS,WARREN,VT,05674,-72.889792,44.125507,50,023,955600,2
"1474 SHAW MANSION RD WATERBURY, VT 05677 ",1474,SHAW MANSION RD,WATERBURY,VT,05677,-72.689697,44.375875,50,023,954300,1
"11 ACADEMY ST BARRE CITY, VT 05641 ",11,ACADEMY ST,BARRE CITY,VT,05641,-72.497837,44.196432,50,023,955100,4
"1279 W SHORE RD CABOT, VT 05647 ",1279,W   SHORE RD,CABOT,VT,05647,-72.22667,44.410867,50,023,954000,1
