address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"630 YORK ST LYNDON, VT 05851 ",630,YORK ST,LYNDON,VT,05851,-72.021653,44.515154,50,005,957300,3
"51 BAILEY ST BARRE CITY, VT 05641 ",51,BAILEY ST,BARRE CITY,VT,05641,-72.522104,44.198652,50,023,955200,6
"193 TARDIF DR BURKE, VT 05871 ",193,TARDIF DR,BURKE,VT,05871,-71.978554,44.601935,50,005,957100,1
"206 MOUNT PLEASANT ST SAINT JOHNSBURY, VT 05819 ",206,MOUNT PLEASANT ST,SAINT JOHNSBURY,VT,05819,-72.021193,44.425482,50,005,957400,1
"200 VALENTINE AVE DERBY, VT 05830 ",200,VALENTINE AVE,DERBY,VT,05830,-72.108807,44.998713,50,019,951200,1
"388 WEBSTERVILLE RD BARRE TOWN, VT 05641 ",388,WEBSTERVILLE RD,BARRE TOWN,VT,05641,-72.460069,44.159364,50,023,955400,1
"384 VT ROUTE 5A CHARLESTON, VT 05872 ",384,VT ROUTE 5A,CHARLESTON,VT,05872,-72.061129,44.881152,50,019,951100,2
"6 PINE ST BARRE CITY, VT 05641 ",6,PINE ST,BARRE CITY,VT,05641,-72.506096,44.209374,50,023,955100,1
"1274 HEIGHTS RD GLOVER, VT 05839 ",1274,HEIGHTS RD,GLOVER,VT,05839,-72.168804,44.680258,50,019,952000,1
"533 MUZZY RD BERLIN, VT 05602 ",533,MUZZY RD,BERLIN,VT,05602,-72.638496,44.214303,50,023,954500,1
"78 COW HILL RD CABOT, VT 05647 ",78,COW HILL RD,CABOT,VT,05647,-72.24843,44.385728,50,023,954000,1
"20 KUBOTA DR BERLIN, VT 05641 ",20,KUBOTA DR,BERLIN,VT,05641,-72.526066,44.237754,50,023,954500,2
"203 WRIGHT RD CAMBRIDGE, VT 05464 ",203,WRIGHT RD,CAMBRIDGE,VT,05464,-72.799834,44.614973,50,015,953100,1
"58 STANTON RD DANVILLE, VT 05828 ",58,STANTON RD,DANVILLE,VT,05828,-72.094922,44.458612,50,005,957600,1
"1020 VT ROUTE 114 MORGAN, VT 05846 ",1020,VT ROUTE 114,MORGAN,VT,05846,-71.909396,44.858974,50,019,951100,1
"596 TWIN PEAKS RD WATERBURY, VT 05677 ",596,TWIN PEAKS RD,WATERBURY,VT,05677,-72.721702,44.355408,50,023,954300,1
"127 CHURCH ST HARDWICK, VT 05843 ",127,CHURCH ST,HARDWICK,VT,05843,-72.362588,44.504953,50,005,957700,1
"695 MAIN ST ALBANY, VT 05820 ",695,MAIN ST,ALBANY,VT,05820,-72.378347,44.733227,50,019,951700,3
"997 NEWARK POND RD NEWARK, VT 05871 ",997,NEWARK POND RD,NEWARK,VT,05871,-71.972445,44.721631,50,005,957000,1
"565 US ROUTE 5 N BARNET, VT 05821 ",565,US ROUTE 5   N,BARNET,VT,05821,-72.038451,44.326544,50,005,957900,2
"165 CALENDAR BROOK RD LYNDON, VT 05851 ",165,CALENDAR BROOK RD,LYNDON,VT,05851,-71.98685,44.581827,50,005,957300,1
"239 RABBIT HOLLOW RD NORTHFIELD, VT 05663 ",239,RABBIT HOLLOW RD,NORTHFIELD,VT,05663,-72.728067,44.116758,50,023,955501,2
"175 DEPOT ST HYDE PARK, VT 05655 ",175,DEPOT ST,HYDE PARK,VT,05655,-72.614226,44.59032,50,015,953300,2
"33 STRAWBERRY HL LYNDON, VT 05851 ",33,STRAWBERRY HL,LYNDON,VT,05851,-71.989307,44.539016,50,005,957200,1
