address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"1264 HAWKINS RD DANVILLE, VT 05828 ",1264,HAWKINS RD,DANVILLE,VT,05828,-72.087324,44.447601,50,005,957600,1
"115 POWDERHORN RD BURKE, VT 05832 ",115,POWDERHORN RD,BURKE,VT,05832,-71.916338,44.585879,50,005,957100,2
"0 FERGUSON RD BARNET, VT 05821 ",0,FERGUSON RD,BARNET,VT,05821,-72.102435,44.314772,50,005,957900,2
"618 YOUNG FARM RD PEACHAM, VT 05873 ",618,YOUNG FARM RD,PEACHAM,VT,05873,-72.227347,44.391732,50,005,957800,1
"5756 VT ROUTE 15 WALDEN, VT 05843 ",5756,VT ROUTE 15,WALDEN,VT,05843,-72.259215,44.45443,50,005,957000,2
"3251 US ROUTE 2 W DANVILLE, VT 05873 ",3251,US ROUTE 2   W,DANVILLE,VT,05873,-72.2031,44.406549,50,005,957600,2
"31 N CHURCH RD DANVILLE, VT 05828 ",31,N   CHURCH RD,DANVILLE,VT,05828,-72.100471,44.462034,50,005,957600,1
"268 JILLS HILL RD WHEELOCK, VT 05851 ",268,JILLS HILL RD,WHEELOCK,VT,05851,-72.10949,44.544991,50,005,957000,3
"50 SHORELINE DR BARNET, VT 05821 ",50,SHORELINE DR,BARNET,VT,05821,-72.131217,44.299537,50,005,957900,3
"0 STUART LN BARNET, VT 05819 ",0,STUART LN,BARNET,VT,05819,-72.07554,44.350845,50,005,957900,2
"248 DIAMOND HILL RD LYNDON, VT 05851 ",248,DIAMOND HILL RD,LYNDON,VT,05851,-72.04956,44.525776,50,005,957300,3
"139 EASTERN AVE WALDEN, VT 05836 ",139,EASTERN AVE,WALDEN,VT,05836,-72.213702,44.504815,50,005,957000,2
"50 VT ROUTE 15 DANVILLE, VT 05873 ",50,VT ROUTE 15,DANVILLE,VT,05873,-72.19556,44.409389,50,005,957600,1
"0 NEW DUCK POND RD SHEFFIELD, VT 05866 ",0,NEW DUCK POND RD,SHEFFIELD,VT,05866,-72.104417,44.671024,50,005,957000,3
"98 DEER RUN LN LYNDON, VT 05851 ",98,DEER RUN LN,LYNDON,VT,05851,-71.982103,44.54738,50,005,957200,1
"46 WATERMAN CIR SAINT JOHNSBURY, VT 05819 ",46,WATERMAN CIR,SAINT JOHNSBURY,VT,05819,-72.00924,44.429719,50,005,957500,1
"91 WHITE PINE LN LYNDON, VT 05851 ",91,WHITE PINE LN,LYNDON,VT,05851,-71.999252,44.518404,50,005,957200,2
"1384 STATION RD SUTTON, VT 05867 ",1384,STATION RD,SUTTON,VT,05867,-72.020057,44.652435,50,005,957000,1
"749 POWDER SPRING RD GROTON, VT 05046 ",749,POWDER SPRING RD,GROTON,VT,05046,-72.199887,44.20126,50,005,957800,2
"458 EASTERN AVE WALDEN, VT 05836 ",458,EASTERN AVE,WALDEN,VT,05836,-72.212096,44.508723,50,005,957000,2
"1744 WOOD LN KIRBY, VT 05824 ",1744,WOOD LN,KIRBY,VT,05824,-71.890096,44.486143,50,005,957100,2
"0 LITTLE FRANCE RD BARNET, VT 05821 ",0,LITTLE FRANCE RD,BARNET,VT,05821,-72.048075,44.318664,50,005,957900,2
"223 KITCHEL HL BARNET, VT 05819 ",223,KITCHEL HL,BARNET,VT,05819,-72.049514,44.355612,50,005,957900,2
"158 AIKEN FARM RD PEACHAM, VT 05821 ",158,AIKEN FARM RD,PEACHAM,VT,05821,-72.153138,44.306733,50,005,957800,1
"182 W CHURCH ST HARDWICK, VT 05843 ",182,W   CHURCH ST,HARDWICK,VT,05843,-72.368171,44.507356,50,005,957700,1
"359 VT ROUTE 14 S HARDWICK, VT 05843 ",359,VT ROUTE 14  S,HARDWICK,VT,05843,-72.375312,44.493748,50,005,957700,2
"854 CENTER ST LYNDON, VT 05851 ",854,CENTER ST,LYNDON,VT,05851,-72.005632,44.533594,50,005,957300,2
"15 SPRUCEWOOD LN LYNDON, VT 05851 ",15,SPRUCEWOOD LN,LYNDON,VT,05851,-71.99459,44.571658,50,005,957300,1
"2185 GASKELL HILL RD BURKE, VT 05871 ",2185,GASKELL HILL RD,BURKE,VT,05871,-71.98598,44.622646,50,005,957100,1
"1068 BREEZY HILL RD SAINT JOHNSBURY, VT 05819 ",1068,BREEZY HILL RD,SAINT JOHNSBURY,VT,05819,-72.005001,44.449518,50,005,957500,1
"2128 SIMPSON BROOK RD WATERFORD, VT 05819 ",2128,SIMPSON BROOK RD,WATERFORD,VT,05819,-72.010918,44.375883,50,005,957900,1
"4606 MACKS MOUNTAIN RD PEACHAM, VT 05873 ",4606,MACKS MOUNTAIN RD,PEACHAM,VT,05873,-72.242818,44.366069,50,005,957800,1
"226 CENTER ST LYNDON, VT 05850 ",226,CENTER ST,LYNDON,VT,05850,-72.012142,44.53945,50,005,957300,2
"42 MAIN ST LYNDON, VT 05851 ",42,MAIN ST,LYNDON,VT,05851,-72.005203,44.534457,50,005,957200,2
"1560 N BAYLEY HAZEN RD RYEGATE, VT 05042 ",1560,N   BAYLEY HAZEN RD,RYEGATE,VT,05042,-72.10534,44.230365,50,005,957800,3
"524 ONION PT PEACHAM, VT 05862 ",524,ONION PT,PEACHAM,VT,05862,-72.266225,44.33343,50,005,957800,1
"2864 DARLING HILL RD LYNDON, VT 05851 ",2864,DARLING HILL RD,LYNDON,VT,05851,-71.962695,44.584676,50,005,957200,2
"178 MOSQUITOVILLE RD BARNET, VT 05821 ",178,MOSQUITOVILLE RD,BARNET,VT,05821,-72.145174,44.28196,50,005,957900,3
"146 SARGENTS RD SUTTON, VT 05867 ",146,SARGENTS RD,SUTTON,VT,05867,-71.998356,44.675078,50,005,957000,1
"836 WHIPPLE HILL DR LYNDON, VT 05851 ",836,WHIPPLE HILL DR,LYNDON,VT,05851,-71.977857,44.537211,50,005,957200,1
