address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"4646 RANDOLPH RD MORRISTOWN, VT 05661 ",4646,RANDOLPH RD,MORRISTOWN,VT,05661,-72.60815,44.503312,50,015,953500,2
"9 MCNALLY DR CAMBRIDGE, VT 05492 ",9,MCNALLY DR,CAMBRIDGE,VT,05492,-72.792031,44.672846,50,015,953100,1
"2179 E ELMORE RD ELMORE, VT 05680 ",2179,E   ELMORE RD,ELMORE,VT,05680,-72.45778,44.517171,50,015,953400,1
"2108 ELMORE MOUNTAIN RD ELMORE, VT 05661 ",2108,ELMORE MOUNTAIN RD,ELMORE,VT,05661,-72.560895,44.518885,50,015,953400,1
"282 E MAIN ST HYDE PARK, VT 05655 ",282,E   MAIN ST,HYDE PARK,VT,05655,-72.610076,44.59214,50,015,953300,2
"1084 AYERS FARM RD STOWE, VT 05672 ",1084,AYERS FARM RD,STOWE,VT,05672,-72.69373,44.427123,50,015,953600,2
"559 MAPLE ST STOWE, VT 05672 ",559,MAPLE ST,STOWE,VT,05672,-72.677774,44.46911,50,015,953600,1
"1143 VT ROUTE 100 HYDE PARK, VT 05655 ",1143,VT ROUTE 100,HYDE PARK,VT,05655,-72.612793,44.613591,50,015,953300,2
"21 BLAKE WAY CAMBRIDGE, VT 05464 ",21,BLAKE WAY,CAMBRIDGE,VT,05464,-72.865037,44.646881,50,015,953100,1
"1558 WEEKS HILL RD STOWE, VT 05672 ",1558,WEEKS HILL RD,STOWE,VT,05672,-72.697139,44.494616,50,015,953600,1
"157 JOHNSON ST EXT HYDE PARK, VT 05655 ",157,JOHNSON ST EXT,HYDE PARK,VT,05655,-72.622066,44.596893,50,015,953300,2
"679 MOREY HILL RD WOLCOTT, VT 05680 ",679,MOREY HILL RD,WOLCOTT,VT,05680,-72.470346,44.617311,50,015,953400,1
"144 ASPENS DR CAMBRIDGE, VT 05464 ",144,ASPENS DR,CAMBRIDGE,VT,05464,-72.777009,44.588467,50,015,953100,1
"7226 VT ROUTE 100 EDEN, VT 05653 ",7226,VT ROUTE 100,EDEN,VT,05653,-72.464336,44.735653,50,015,953000,1
"2104 COOPER HILL RD EDEN, VT 05652 ",2104,COOPER HILL RD,EDEN,VT,05652,-72.560144,44.675386,50,015,953000,1
"426 FAIRWAY DR STOWE, VT 05672 ",426,FAIRWAY DR,STOWE,VT,05672,-72.698191,44.484029,50,015,953600,1
"147 RIVER RD W JOHNSON, VT 05656 ",147,RIVER RD W,JOHNSON,VT,05656,-72.68685,44.63406,50,015,953200,2
"456 THOMAS LN STOWE, VT 05672 ",456,THOMAS LN,STOWE,VT,05672,-72.687075,44.459039,50,015,953600,2
"6066 VT ROUTE 109 BELVIDERE, VT 05442 ",6066,VT ROUTE 109,BELVIDERE,VT,05442,-72.732463,44.740204,50,015,953000,2
"677 NORTH WOLCOTT RD WOLCOTT, VT 05680 ",677,NORTH WOLCOTT RD,WOLCOTT,VT,05680,-72.48403,44.567422,50,015,953400,1
"839 MOSCOW RD STOWE, VT 05672 ",839,MOSCOW RD,STOWE,VT,05672,-72.723164,44.442331,50,015,953600,3
"193 WALNUT LN WOLCOTT, VT 05680 ",193,WALNUT LN,WOLCOTT,VT,05680,-72.523208,44.557337,50,015,953400,1
"50 NOTCHBROOK RD STOWE, VT 05672 ",50,NOTCHBROOK RD,STOWE,VT,05672,-72.755839,44.502767,50,015,953600,1
"288 VALLEY VIEW LN MORRISTOWN, VT 05661 ",288,VALLEY VIEW LN,MORRISTOWN,VT,05661,-72.633116,44.519312,50,015,953500,2
"46 COPLEY AVE MORRISTOWN, VT 05661 ",46,COPLEY AVE,MORRISTOWN,VT,05661,-72.593917,44.561873,50,015,953500,3
"350 MOUNTAIN RD STOWE, VT 05672 ",350,MOUNTAIN RD,STOWE,VT,05672,-72.68683,44.47034,50,015,953600,1
"171 SUNSET DR MORRISTOWN, VT 05661 ",171,SUNSET DR,MORRISTOWN,VT,05661,-72.592506,44.578218,50,015,953500,1
"1899 FOOTE BROOK RD JOHNSON, VT 05656 ",1899,FOOTE BROOK RD,JOHNSON,VT,05656,-72.693034,44.666436,50,015,953200,1
"148 JERSEY WAY MORRISTOWN, VT 05661 ",148,JERSEY WAY,MORRISTOWN,VT,05661,-72.60705,44.554904,50,015,953500,3
"141 ALLAN RIDGE RD MORRISTOWN, VT 05661 ",141,ALLAN RIDGE RD,MORRISTOWN,VT,05661,-72.647193,44.505486,50,015,953500,2
"79 BROOK AND PINE RD MORRISTOWN, VT 05661 ",79,BROOK AND PINE RD,MORRISTOWN,VT,05661,-72.618499,44.518383,50,015,953500,3
"74 SCHOOL ST WOLCOTT, VT 05680 ",74,SCHOOL ST,WOLCOTT,VT,05680,-72.45815,44.545664,50,015,953400,1
"1779 MCKINSTRY HILL RD HYDE PARK, VT 05655 ",1779,MCKINSTRY HILL RD,HYDE PARK,VT,05655,-72.562071,44.64489,50,015,953300,1
"75 KRUSCH DR CAMBRIDGE, VT 05444 ",75,KRUSCH DR,CAMBRIDGE,VT,05444,-72.879014,44.658986,50,015,953100,1
"298 HOUSTON FARM RD STOWE, VT 05672 ",298,HOUSTON FARM RD,STOWE,VT,05672,-72.723657,44.487745,50,015,953600,1
"125 PHYLLIS LN WATERVILLE, VT 05492 ",125,PHYLLIS LN,WATERVILLE,VT,05492,-72.7493,44.748715,50,015,953000,2
"19 CARPENTIER FARM RD MORRISTOWN, VT 05661 ",19,CARPENTIER FARM RD,MORRISTOWN,VT,05661,-72.600047,44.544893,50,015,953500,3
"123 GRAY FARM RD MORRISTOWN, VT 05661 ",123,GRAY FARM RD,MORRISTOWN,VT,05661,-72.612511,44.503339,50,015,953500,2
"2607 CLAY HL JOHNSON, VT 05656 ",2607,CLAY HL,JOHNSON,VT,05656,-72.671971,44.671935,50,015,953200,1
