address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"93 DUMAS DR MORGAN, VT 05829 ",93,DUMAS DR,MORGAN,VT,05829,-72.094186,44.93017,50,019,951100,1
"167 E SALEM DR DERBY, VT 05829 ",167,E   SALEM DR,DERBY,VT,05829,-72.096894,44.922277,50,019,951200,3
"2255 COBURN HILL RD CRAFTSBURY, VT 05826 ",2255,COBURN HILL RD,CRAFTSBURY,VT,05826,-72.415653,44.688499,50,019,951700,4
"1564 VALLEY RD HOLLAND, VT 05829 ",1564,VALLEY RD,HOLLAND,VT,05829,-72.028202,44.977415,50,019,951100,1
"1059 STREETER RD CHARLESTON, VT 05872 ",1059,STREETER RD,CHARLESTON,VT,05872,-72.028276,44.888235,50,019,951100,2
"575 MAIN ST DERBY CTR DERBY, VT 05829 ",575,MAIN ST DERBY CTR,DERBY,VT,05829,-72.13394,44.946447,50,019,951200,3
"531 CITIZENS RD DERBY, VT 05855 ",531,CITIZENS RD,DERBY,VT,05855,-72.186668,44.927072,50,019,951300,1
"760 YOUNG RD GLOVER, VT 05839 ",760,YOUNG RD,GLOVER,VT,05839,-72.239962,44.689895,50,019,952000,1
"90 FORREST AVE DERBY, VT 05830 ",90,FORREST AVE,DERBY,VT,05830,-72.105052,45.001606,50,019,951200,1
"24 PARENTEAU LN WESTMORE, VT 05860 ",24,PARENTEAU LN,WESTMORE,VT,05860,-72.074632,44.786481,50,019,951900,2
"2725 VT ROUTE 105 NEWPORT TOWN, VT 05857 ",2725,VT ROUTE 105,NEWPORT TOWN,VT,05857,-72.291833,44.933915,50,019,951600,2
"493 BIRCH POINT RD MORGAN, VT 05872 ",493,BIRCH POINT RD,MORGAN,VT,05872,-71.969981,44.87429,50,019,951100,1
"895 MAIN ST ALBANY, VT 05820 ",895,MAIN ST,ALBANY,VT,05820,-72.379658,44.7305,50,019,951700,3
"181 STONE SHORE RD GLOVER, VT 05839 ",181,STONE SHORE RD,GLOVER,VT,05839,-72.217299,44.666947,50,019,952000,1
"1301 VT ROUTE 58 E IRASBURG, VT 05860 ",1301,VT ROUTE 58   E,IRASBURG,VT,05860,-72.257698,44.804334,50,019,951700,2
"2200 LONG POND RD WESTMORE, VT 05860 ",2200,LONG POND RD,WESTMORE,VT,05860,-72.016938,44.755674,50,019,951900,2
"238 GERALDINE AVE TROY, VT 05859 ",238,GERALDINE AVE,TROY,VT,05859,-72.389438,44.996106,50,019,951600,3
"175 PARK ST BARTON, VT 05822 ",175,PARK ST,BARTON,VT,05822,-72.183572,44.74608,50,019,951800,3
"579 HUDSON RD CHARLESTON, VT 05872 ",579,HUDSON RD,CHARLESTON,VT,05872,-71.975935,44.815056,50,019,951100,2
"1915 TOAD POND RD MORGAN, VT 05853 ",1915,TOAD POND RD,MORGAN,VT,05853,-71.947911,44.923744,50,019,951100,1
