address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"35 FIRST ST BERLIN, VT 05602 ",35,FIRST ST,BERLIN,VT,05602,-72.592901,44.244299,50,023,954500,1
"1423 CLARK RD EAST MONTPELIER, VT 05651 ",1423,CLARK RD,EAST MONTPELIER,VT,05651,-72.480851,44.243833,50,023,955000,2
"10 DARSHIR LN BARRE TOWN, VT 05654 ",10,DARSHIR LN,BARRE TOWN,VT,05654,-72.506702,44.159664,50,023,955400,3
"75 DYER AVE MONTPELIER, VT 05602 ",75,DYER AVE,MONTPELIER,VT,05602,-72.549762,44.25563,50,023,954700,1
"2266 CABOT PLAINS RD CABOT, VT 05647 ",2266,CABOT PLAINS RD,CABOT,VT,05647,-72.257463,44.420694,50,023,954000,1
"24 BLISS RD WOODBURY, VT 05658 ",24,BLISS RD,WOODBURY,VT,05658,-72.391015,44.404943,50,023,954100,1
"138 PLEASANT ST NORTHFIELD, VT 05663 ",138,PLEASANT ST,NORTHFIELD,VT,05663,-72.663687,44.149226,50,023,955501,2
"3040 VT ROUTE 14 N EAST MONTPELIER, VT 05651 ",3040,VT ROUTE 14   N,EAST MONTPELIER,VT,05651,-72.446702,44.302782,50,023,955000,2
"2133 BERLIN STATE HWY BERLIN, VT 05602 ",2133,BERLIN STATE HWY,BERLIN,VT,05602,-72.556459,44.231031,50,023,954500,2
"1706 ROUTE 215 S CABOT, VT 05647 ",1706,ROUTE 215   S,CABOT,VT,05647,-72.331636,44.390958,50,023,954000,1
"1 STEWART LN BARRE CITY, VT 05641 ",1,STEWART LN,BARRE CITY,VT,05641,-72.518925,44.208509,50,023,955200,6
"0 PATTYS XING MARSHFIELD, VT 05658 ",0,PATTYS XING,MARSHFIELD,VT,05658,-72.372183,44.331356,50,023,954000,2
"201 COLLAR HILL RD WORCESTER, VT 05682 ",201,COLLAR HILL RD,WORCESTER,VT,05682,-72.521849,44.386217,50,023,954200,1
"5 PIKE ST BARRE CITY, VT 05641 ",5,PIKE ST,BARRE CITY,VT,05641,-72.509936,44.199914,50,023,955200,5
"90 SCHOOL ST PLAINFIELD, VT 05667 ",90,SCHOOL ST,PLAINFIELD,VT,05667,-72.424118,44.278507,50,023,954000,3
"182 SHERMAN RD WAITSFIELD, VT 05673 ",182,SHERMAN RD,WAITSFIELD,VT,05673,-72.805495,44.144095,50,023,955700,1
"96 WASHBOWL RD NORTHFIELD, VT 05663 ",96,WASHBOWL RD,NORTHFIELD,VT,05663,-72.716119,44.198249,50,023,955501,2
"95 CHURCH HILL RD BARRE TOWN, VT 05678 ",95,CHURCH HILL RD,BARRE TOWN,VT,05678,-72.472642,44.156049,50,023,955400,2
"90 PROSPECT ST BARRE CITY, VT 05641 ",90,PROSPECT ST,BARRE CITY,VT,05641,-72.503793,44.195798,50,023,955200,3
"49 WELLINGTON ST BARRE CITY, VT 05641 ",49,WELLINGTON ST,BARRE CITY,VT,05641,-72.50139,44.200789,50,023,955100,4
"2564 MAPLE HILL RD MARSHFIELD, VT 05667 ",2564,MAPLE HILL RD,MARSHFIELD,VT,05667,-72.374865,44.264089,50,023,954000,2
"21 HILL ST BARRE CITY, VT 05641 ",21,HILL ST,BARRE CITY,VT,05641,-72.498554,44.192374,50,023,955200,1
"937 US ROUTE 302 BERLIN, VT 05641 ",937,US ROUTE 302,BERLIN,VT,05641,-72.548673,44.222589,50,023,954500,2
"1296 JOHN FOWLER RD MARSHFIELD, VT 05667 ",1296,JOHN FOWLER RD,MARSHFIELD,VT,05667,-72.391775,44.278731,50,023,954000,2
"80 PARK ST BARRE CITY, VT 05641 ",80,PARK ST,BARRE CITY,VT,05641,-72.49595,44.200689,50,023,955100,3
"84 HALLSTROM RD NORTHFIELD, VT 05663 ",84,HALLSTROM RD,NORTHFIELD,VT,05663,-72.724283,44.180047,50,023,955501,2
"531 HAYES RD DUXBURY, VT 05676 ",531,HAYES RD,DUXBURY,VT,05676,-72.798028,44.304245,50,023,954400,3
"103 BUSHEY RD MIDDLESEX, VT 05602 ",103,BUSHEY RD,MIDDLESEX,VT,05602,-72.62407,44.350482,50,023,954200,2
"117 NO 10 POND RD CALAIS, VT 05650 ",117,NO 10 POND RD,CALAIS,VT,05650,-72.448106,44.390691,50,023,954100,3
"287 MCCRILLIS RD MARSHFIELD, VT 05658 ",287,MCCRILLIS RD,MARSHFIELD,VT,05658,-72.345403,44.359292,50,023,954000,2
"52 FREEDOM DR MONTPELIER, VT 05602 ",52,FREEDOM DR,MONTPELIER,VT,05602,-72.584069,44.245437,50,023,954900,1
"2344 TOWNE HILL RD EAST MONTPELIER, VT 05651 ",2344,TOWNE HILL RD,EAST MONTPELIER,VT,05651,-72.51581,44.256013,50,023,955000,2
"4 MEADOW CREST LN WATERBURY, VT 05676 ",4,MEADOW CREST LN,WATERBURY,VT,05676,-72.74523,44.353169,50,023,954300,2
"135 HULTS RD WORCESTER, VT 05682 ",135,HULTS RD,WORCESTER,VT,05682,-72.616897,44.384514,50,023,954200,1
"194 METAYER CT WATERBURY, VT 05677 ",194,METAYER CT,WATERBURY,VT,05677,-72.721026,44.376309,50,023,954300,2
"317 PLAINFIELD BROOK RD BARRE TOWN, VT 05641 ",317,PLAINFIELD BROOK RD,BARRE TOWN,VT,05641,-72.467492,44.231126,50,023,955300,2
"17 STOWE ST WATERBURY, VT 05676 ",17,STOWE ST,WATERBURY,VT,05676,-72.75575,44.337945,50,023,954300,4
"19 VALLEY VIEW CIR BARRE TOWN, VT 05641 ",19,VALLEY VIEW CIR,BARRE TOWN,VT,05641,-72.487791,44.214215,50,023,955300,2
"1396 GREGG HILL RD WATERBURY, VT 05677 ",1396,GREGG HILL RD,WATERBURY,VT,05677,-72.736837,44.391212,50,023,954300,2
"1325 MAPLE ST WATERBURY, VT 05677 ",1325,MAPLE ST,WATERBURY,VT,05677,-72.707161,44.392362,50,023,954300,2
"960 FULLER HILL RD WARREN, VT 05674 ",960,FULLER HILL RD,WARREN,VT,05674,-72.853874,44.098195,50,023,955600,1
"180 MAD RIVER GRN WAITSFIELD, VT 05673 ",180,MAD RIVER GRN,WAITSFIELD,VT,05673,-72.839426,44.183308,50,023,955700,2
"659 PHEN BASIN RD FAYSTON, VT 05673 ",659,PHEN BASIN RD,FAYSTON,VT,05673,-72.877652,44.198954,50,023,955800,2
"4 WALKER TER MONTPELIER, VT 05602 ",4,WALKER TER,MONTPELIER,VT,05602,-72.590159,44.270096,50,023,954600,2
"414 BLUEBERRY HILL RD WOODBURY, VT 05650 ",414,BLUEBERRY HILL RD,WOODBURY,VT,05650,-72.453259,44.434858,50,023,954100,1
"1484 MOSCOW WOODS RD CALAIS, VT 05650 ",1484,MOSCOW WOODS RD,CALAIS,VT,05650,-72.446054,44.379987,50,023,954100,2
"1370 CENTER RD EAST MONTPELIER, VT 05651 ",1370,CENTER RD,EAST MONTPELIER,VT,05651,-72.530779,44.28273,50,023,955000,2
"124 NOYES RD MORETOWN, VT 05676 ",124,NOYES RD,MORETOWN,VT,05676,-72.7213,44.310308,50,023,954400,2
"5843 ROUTE 215 N CABOT, VT 05647 ",5843,ROUTE 215   N,CABOT,VT,05647,-72.283665,44.436481,50,023,954000,1
"445 ROBINSON RD WARREN, VT 05674 ",445,ROBINSON RD,WARREN,VT,05674,-72.819069,44.096271,50,023,955600,1
"101 SUMMER ST BARRE CITY, VT 05641 ",101,SUMMER ST,BARRE CITY,VT,05641,-72.505479,44.202524,50,023,955100,3
"195 SCHOOL ST MARSHFIELD, VT 05658 ",195,SCHOOL ST,MARSHFIELD,VT,05658,-72.353951,44.348406,50,023,954000,2
"207 GALLAGHER ACRES MORETOWN, VT 05676 ",207,GALLAGHER ACRES,MORETOWN,VT,05676,-72.740329,44.320545,50,023,954400,2
