address_full,number,street,city,state,zip,lon,lat,statefp,countyfp,tractce,blkgrpce,geoid_bg,NAME,population,addresses_in_bg,addresses_per_person,population_weight
"190 STEALTH RIDGE LN SAINT JOHNSBURY, VT 05819 ",190,STEALTH RIDGE LN,SAINT JOHNSBURY,VT,5819,-72.009613,44.425703,50,5,957500,1,500059575001,Block Group 1; Census Tract 9575; Caledonia County; Vermont,1444,876,0.6066481994459834,1.6484018264840183
"296 WILLSON RD DANVILLE, VT 05819 ",296,WILLSON RD,DANVILLE,VT,5819,-72.098133,44.392769,50,5,957600,2,500059576002,Block Group 2; Census Tract 9576; Caledonia County; Vermont,1038,637,0.6136801541425819,1.629513343799058
"156 PAPERMILL RD RYEGATE, VT 05042 ",156,PAPERMILL RD,RYEGATE,VT,5042,-72.061006,44.204873,50,5,957800,3,500059578003,Block Group 3; Census Tract 9578; Caledonia County; Vermont,1103,734,0.6654578422484134,1.502724795640327
"1066 RAILROAD ST SAINT JOHNSBURY, VT 05819 ",1066,RAILROAD ST,SAINT JOHNSBURY,VT,5819,-72.015669,44.427913,50,5,957400,2,500059574002,Block Group 2; Census Tract 9574; Caledonia County; Vermont,814,432,0.5307125307125307,1.8842592592592593
"1842 HARDWICK ST HARDWICK, VT 05836 ",1842,HARDWICK ST,HARDWICK,VT,5836,-72.299376,44.551361,50,5,957700,1,500059577001,Block Group 1; Census Tract 9577; Caledonia County; Vermont,1729,888,0.5135916714864083,1.947072072072072
"862 DUTTON RD HARDWICK, VT 05843 ",862,DUTTON RD,HARDWICK,VT,5843,-72.332216,44.476514,50,5,957700,2,500059577002,Block Group 2; Census Tract 9577; Caledonia County; Vermont,1221,685,0.561015561015561,1.7824817518248175
"76 WATERMAN CIR SAINT JOHNSBURY, VT 05819 ",76,WATERMAN CIR,SAINT JOHNSBURY,VT,5819,-72.009805,44.429712,50,5,957500,1,500059575001,Block Group 1; Census Tract 9575; Caledonia County; Vermont,1444,876,0.6066481994459834,1.6484018264840183
"4118 DARLING HILL RD BURKE, VT 05832 ",4118,DARLING HILL RD,BURKE,VT,5832,-71.953311,44.599124,50,5,957100,2,500059571002,Block Group 2; Census Tract 9571; Caledonia County; Vermont,1397,859,0.6148890479599141,1.6263096623981375
"632 S RIDGE RD SUTTON, VT 05867 ",632,S  RIDGE RD,SUTTON,VT,5867,-72.023209,44.605016,50,5,957000,1,500059570001,Block Group 1; Census Tract 9570; Caledonia County; Vermont,1475,1249,0.8467796610169491,1.1809447558046438
"7 PENNY LN STANNARD, VT 05842 ",7,PENNY LN,STANNARD,VT,5842,-72.257784,44.54523,50,5,957000,3,500059570003,Block Group 3; Census Tract 9570; Caledonia County; Vermont,1603,1328,0.8284466625077979,1.207078313253012
"6165 RYEGATE RD RYEGATE, VT 05042 ",6165,RYEGATE RD,RYEGATE,VT,5042,-72.056119,44.238916,50,5,957800,3,500059578003,Block Group 3; Census Tract 9578; Caledonia County; Vermont,1103,734,0.6654578422484134,1.502724795640327
"2165 GARLAND HL BARNET, VT 05821 ",2165,GARLAND HL,BARNET,VT,5821,-72.094606,44.289777,50,5,957900,3,500059579003,Block Group 3; Census Tract 9579; Caledonia County; Vermont,557,689,1.236983842010772,0.8084179970972424
"387 CORNER RD WALDEN, VT 05843 ",387,CORNER RD,WALDEN,VT,5843,-72.318725,44.465113,50,5,957000,2,500059570002,Block Group 2; Census Tract 9570; Caledonia County; Vermont,1049,714,0.680648236415634,1.4691876750700281
"2096 NEW BOSTON RD SAINT JOHNSBURY, VT 05819 ",2096,NEW BOSTON RD,SAINT JOHNSBURY,VT,5819,-71.995913,44.491952,50,5,957500,1,500059575001,Block Group 1; Census Tract 9575; Caledonia County; Vermont,1444,876,0.6066481994459834,1.6484018264840183
"629 KEENE RD WALDEN, VT 05836 ",629,KEENE RD,WALDEN,VT,5836,-72.280381,44.491874,50,5,957000,2,500059570002,Block Group 2; Census Tract 9570; Caledonia County; Vermont,1049,714,0.680648236415634,1.4691876750700281
"1210 GREENBANKS HOLLOW RD DANVILLE, VT 05828 ",1210,GREENBANKS HOLLOW RD,DANVILLE,VT,5828,-72.121777,44.386748,50,5,957600,2,500059576002,Block Group 2; Census Tract 9576; Caledonia County; Vermont,1038,637,0.6136801541425819,1.629513343799058
"36 GASKIN CIR LYNDON, VT 05851 ",36,GASKIN CIR,LYNDON,VT,5851,-71.994386,44.538727,50,5,957200,2,500059572002,Block Group 2; Census Tract 9572; Caledonia County; Vermont,1529,741,0.48463047743623283,2.0634278002699054
"608 LIDDLE DR RYEGATE, VT 05042 ",608,LIDDLE DR,RYEGATE,VT,5042,-72.075283,44.254461,50,5,957800,3,500059578003,Block Group 3; Census Tract 9578; Caledonia County; Vermont,1103,734,0.6654578422484134,1.502724795640327
"1348 DARLING HILL RD LYNDON, VT 05851 ",1348,DARLING HILL RD,LYNDON,VT,5851,-71.973125,44.563058,50,5,957200,2,500059572002,Block Group 2; Census Tract 9572; Caledonia County; Vermont,1529,741,0.48463047743623283,2.0634278002699054
"322 DIAMOND HILL RD LYNDON, VT 05851 ",322,DIAMOND HILL RD,LYNDON,VT,5851,-72.047845,44.52481,50,5,957300,3,500059573003,Block Group 3; Census Tract 9573; Caledonia County; Vermont,1610,534,0.3316770186335404,3.0149812734082397
"66 ADAMS DR SAINT JOHNSBURY, VT 05819 ",66,ADAMS DR,SAINT JOHNSBURY,VT,5819,-72.010125,44.412491,50,5,957500,3,500059575003,Block Group 3; Census Tract 9575; Caledonia County; Vermont,1485,435,0.29292929292929293,3.413793103448276
"1774 CALENDAR BROOK RD BURKE, VT 05871 ",1774,CALENDAR BROOK RD,BURKE,VT,5871,-71.992425,44.602888,50,5,957100,1,500059571001,Block Group 1; Census Tract 9571; Caledonia County; Vermont,653,581,0.889739663093415,1.1239242685025816
"91 COLLEGE RD LYNDON, VT 05850 ",91,COLLEGE RD,LYNDON,VT,5850,-72.014515,44.537453,50,5,957300,2,500059573002,Block Group 2; Census Tract 9573; Caledonia County; Vermont,597,250,0.4187604690117253,2.388
"2315 PORTLAND ST SAINT JOHNSBURY, VT 05819 ",2315,PORTLAND ST,SAINT JOHNSBURY,VT,5819,-71.97498,44.429035,50,5,957500,1,500059575001,Block Group 1; Census Tract 9575; Caledonia County; Vermont,1444,876,0.6066481994459834,1.6484018264840183
