village,place,lon,lat,osm_id,heuristic_underserved_load,person_minutes_saved_one_way
Hardwick,village,-72.3659998,44.5043429,158837472,106829.0717062919,106077.7175670996
East Hardwick,hamlet,-72.3087159,44.5217205,158825132,106480.85281567802,90614.07957827431
South Walden,hamlet,-72.2896461,44.4743412,158818179,96045.29586589457,88847.86277199263
Mackville,hamlet,-72.3672151,44.4898554,158821404,105140.64546295366,84449.87347174206
Smith Corner,hamlet,-72.2712139,44.4667219,158851895,93401.70402137822,83818.62043538108
Greensboro Bend,hamlet,-72.2648257,44.5489422,158839100,106635.57254060802,83228.07724939336
Walden Heights,hamlet,-72.2567582,44.452307,158822082,95863.1052450162,78004.8384005634
Hardwick Center,hamlet,-72.3367995,44.5294978,158843116,110167.91206513524,75496.00256627776
Hardwick Street,hamlet,-72.299549,44.5497754,158799294,110260.83009229257,74771.76821576552
Greensboro,village,-72.2956806,44.5760038,158863131,113995.01581932625,73447.2898635722
Tolman Corner,hamlet,-72.3067547,44.5671451,158859015,113568.81660058838,72241.93308756468
Taylor Bridge,hamlet,-72.2926039,44.4842214,158876852,96617.16508850757,69423.34570155558
East Greensboro,hamlet,-72.2506586,44.5714417,158843152,107943.339327211,66897.93387242718
Dows Crossing,hamlet,-72.2867707,44.5008876,158843298,99891.47574441794,66107.2881847982
Woodbury,village,-72.4151253,44.4413834,158854022,91059.16244557837,65752.63109180574
Walden,village,-72.2233339,44.449781,158915404,95414.95232139836,65187.8583798797
Wolcott,village,-72.4578702,44.546609,158846447,107583.78872947689,63467.923048050616
East Craftsbury,hamlet,-72.3428064,44.6415099,158899116,115962.33767248955,62215.12588360838
Craftsbury,village,-72.3732957,44.6361057,158858815,114917.95652235317,62144.28513149358
Nevesville,hamlet,-72.2220804,44.4516976,158825489,94972.07812189877,59632.33943037469
Pottersville,hamlet,-72.4526094,44.538942,158857291,109775.15636791174,58455.404623323695
The Four Corners,hamlet,-72.2300846,44.5944331,158842800,104478.60666319163,53673.614291116464
Craftsbury Common,hamlet,-72.3827342,44.6535578,158806259,111786.85648494796,52293.0507270541
Island Pond,village,-71.8811845,44.8153796,158813349,60746.137319493486,52255.15320805241
South Woodbury,hamlet,-72.4214954,44.4150561,158855719,79928.96053401288,51259.25910515581
West Danville,hamlet,-72.1951282,44.4092076,158803203,86997.65102884526,50091.70238195856
North Walden,hamlet,-72.2631588,44.5050542,158840976,98609.63149596262,49959.378584027036
Campbells Corner,hamlet,-72.3314945,44.591719,158853498,114966.08117466056,48362.5722269503
Mill Village,hamlet,-72.3755168,44.6656887,5449422017,110005.6379130414,47040.712268064955
Stannard,village,-72.2149365,44.5423428,158798538,95888.16807270043,46754.33948957648
Irasburg,village,-72.2791407,44.8034297,158819864,66157.12045274304,46239.383985366585
