GEOID20,POP20
500059570001029,0
500059570001116,17
500059570002041,0
500059570003007,67
500059570003049,16
500059570003099,0
500059570003150,0
500059570001001,5
500059570001002,0
500059570001003,40
500059570001005,23
500059570001006,0
500059570001008,0
500059570001009,16
500059570001011,0
500059570001012,22
500059570001014,0
500059570001015,5
500059570001016,11
500059570001017,9
500059570001018,0
500059570001086,21
500059570001087,4
500059570001088,9
500059570001090,9
500059570001091,17
500059570001093,3
500059570001094,8
500059570001096,23
500059570001097,12
500059570001099,6
500059570001100,5
500059570001101,0
500059570001103,0
500059570001104,30
500059570001105,15
500059570001106,9
500059570001107,13
500059570001108,0
500059570001109,10
500059570001110,19
500059570001111,16
500059570001019,1
500059570001020,15
500059570001021,0
500059570001022,0
500059570001023,2
500059570001024,7
500059570001025,14
500059570001026,11
500059570001027,5
500059570001028,7
500059570001030,0
500059570001031,2
500059570001033,7
500059570001034,4
500059570001036,3
500059570001037,2
500059570001038,16
500059570001040,33
500059570001041,57
500059570001043,6
500059570001044,10
500059570001046,43
500059570001047,8
500059570001049,0
500059570001050,1
500059570001051,5
500059570001053,5
500059570001054,23
500059570001056,11
500059570001057,0
500059570001059,26
500059570001060,0
500059570001061,5
500059570001063,28
500059570001064,3
500059570001066,9
500059570001067,0
500059570001112,34
500059570001113,2
500059570001114,16
500059570001115,25
500059570001117,0
500059570001118,6
500059570001120,0
500059570001121,11
500059570001123,0
500059570001124,0
500059570001125,0
500059570002001,0
500059570002002,73
500059570002004,0
500059570002005,0
500059570002007,8
500059570002008,15
500059570002010,32
500059570002011,0
500059570002012,6
500059570002014,8
500059570002015,28
500059570002017,24
500059570002018,0
500059570002020,10
500059570002021,5
500059570002022,20
500059570002024,5
500059570002025,21
500059570002027,8
500059570002028,19
500059570002029,20
500059570002030,15
500059570002031,12
500059570002032,13
500059570002033,46
500059570002034,4
500059570003037,1
500059570003038,0
500059570003039,0
500059570003040,0
500059570003041,17
500059570003042,39
500059570003043,0
500059570003044,2
500059570003045,0
500059570003046,5
500059570003047,0
500059570003048,0
500059570003050,34
500059570003052,0
500059570001068,0
500059570001069,6
500059570001070,21
500059570001071,0
500059570001072,20
500059570001073,31
500059570001074,13
500059570001075,20
500059570001076,0
500059570001077,27
500059570001078,14
500059570001079,12
500059570001080,14
500059570001081,7
500059570001083,0
500059570001084,9
500059570002035,2
500059570002036,25
500059570002037,19
500059570002038,10
500059570002039,17
500059570002040,12
500059570002042,13
500059570002043,32
500059570002045,18
500059570002046,0
500059570002048,0
500059570002049,6
500059570002050,26
500059570002052,20
500059570002053,0
500059570002055,19
500059570002056,14
500059570002058,2
500059570002059,2
500059570002061,0
500059570002062,0
500059570002063,25
500059570002065,11
500059570002066,12
500059570002068,4
500059570002069,10
500059570002071,0
500059570002072,23
500059570002073,12
500059570002075,0
500059570002076,0
500059570003001,0
500059570003002,0
500059570003003,0
500059570003004,0
500059570003005,0
500059570003006,3
500059570003053,14
500059570003055,6
500059570003056,19
500059570003057,10
500059570003059,47
500059570003060,34
500059570003062,17
500059570003063,39
500059570003065,11
500059570003066,9
500059570003067,0
500059570003069,14
500059570003070,18
500059570003072,4
500059570003073,8
500059570003075,11
500059570003076,34
500059570003078,0
500059570003079,0
500059570003080,19
500059570003082,4
500059570003083,10
500059570003085,0
500059570003086,35
500059570003087,0
500059570003088,4
500059570003089,20
500059570003090,19
500059570003091,54
500059570003092,6
500059570003093,60
500059570003094,0
500059570003095,9
500059570003096,17
500059570003097,0
500059570003098,15
500059570003100,0
500059570003008,0
500059570003009,9
500059570003010,1
500059570003011,58
500059570003012,20
500059570003013,0
500059570003014,8
500059570003015,29
500059570003016,3
500059570003018,0
500059570003019,0
500059570003020,3
500059570003022,2
500059570003023,3
500059570003025,2
500059570003026,6
500059570003028,33
500059570003029,20
500059570003030,18
500059570003032,0
500059570003033,35
500059570003035,0
500059570003036,10
500059570003101,12
500059570003103,0
500059570003104,38
500059570003106,8
500059570003107,6
500059570003108,3
500059570003110,15
500059570003111,23
500059570003113,0
500059570003114,2
500059570003116,0
500059570003117,9
500059570003119,0
500059570003120,10
500059570003121,27
500059570003123,7
500059570003124,20
500059570003126,16
500059570003127,5
500059570003129,26
500059570003130,5
500059570003131,22
500059570003133,25
500059570003134,0
500059570003136,0
500059570003137,0
500059570003138,9
500059570003139,2
500059570003140,8
500059570003141,4
500059570003142,4
500059570003143,33
500059570003144,9
500059570003145,7
500059570003146,9
500059570003147,0
500059570003148,16
500059570003149,0
500059570003151,0
500059570003152,13
500059570003051,2
500059570003054,5
500059570001089,18
500059570001092,0
500059570003058,0
500059570003061,16
500059570003064,0
500059570003068,31
500059570003071,5
500059570003074,29
500059570003077,16
500059570003081,0
500059570003084,10
500059570003102,19
500059570003105,10
500059570003109,2
500059570003112,0
500059570003115,0
500059570003118,10
500059570003122,0
500059570003125,2
500059570003128,0
500059570003132,18
500059570003135,0
500059570003153,13
500059570001095,12
500059570001098,12
500059570001102,7
500059570001119,0
500059570001122,1
500059570002000,0
500059570002003,0
500059570002006,4
500059570002009,19
500059570002013,26
500059570002016,7
500059570002019,15
500059570002023,49
500059570002026,1
500059570002044,10
500059570002047,21
500059570002051,13
500059570002054,0
500059570002057,17
500059570002060,0
500059570002064,36
500059570002067,2
500059570002070,3
500059570002074,7
500059570003000,7
500059570003017,0
500059570003021,38
500059570003024,7
500059570003027,5
500059570003031,0
500059570003034,0
500059570001000,0
500059570001004,7
500059570001007,4
500059570001010,7
500059570001013,2
500059570001032,0
500059570001035,75
500059570001039,10
500059570001042,27
500059570001045,24
500059570001048,41
500059570001052,36
500059570001055,2
500059570001058,48
500059570001062,19
500059570001065,22
500059570001082,21
500059570001085,68
500059571001047,19
500059571002029,21
500059571001037,30
500059571001038,26
500059571001040,27
500059571001041,0
500059571001043,47
500059571001044,41
500059571001046,34
500059571001048,9
500059571001050,0
500059571001051,17
500059571001053,21
500059571002000,7
500059571002002,0
500059571002003,20
500059571002004,16
500059571002006,2
500059571002007,27
500059571002009,35
500059571002010,10
500059571002012,0
500059571002013,25
500059571002015,0
500059571002016,0
500059571002017,11
500059571002018,16
500059571002019,4
500059571002020,3
500059571002021,71
500059571002022,26
500059571002023,5
500059571002024,14
500059571002025,4
500059571002026,67
500059571002027,136
500059571002028,6
500059571002030,1
500059571002031,28
500059571002033,0
500059571002034,0
500059571002036,21
500059571002037,3
500059571002038,0
500059571002040,49
500059571001000,10
500059571001001,27
500059571001003,6
500059571001004,50
500059571001005,15
500059571001007,4
500059571001008,6
500059571001010,0
500059571001011,10
500059571001013,18
500059571001014,11
500059571001016,53
500059571001017,1
500059571001018,5
500059571001020,24
500059571001021,18
500059571001023,13
500059571001024,34
500059571001026,11
500059571001027,33
500059571001028,4
500059571001030,7
500059571001031,2
500059571001033,9
500059571001034,81
500059571001035,9
500059571001036,34
500059571002041,10
500059571002043,0
500059571002044,24
500059571002046,31
500059571002047,23
500059571002049,27
